School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ALEX M MARTINO JR HIGH SCHOOL,Illinois,1728140,60451,1-Regular school,2-No,2-No,2-No,575,47,†,306,269,35.00,16.43,172814002970,17
ALGONQUIN LAKES ELEM SCH,Illinois,1708550,60102,1-Regular school,2-No,2-No,2-No,424,175,†,199,225,30.00,14.13,170855004800,17
ALGONQUIN MIDDLE SCHOOL,Illinois,1712120,60016,1-Regular school,2-No,2-No,2-No,662,373,†,353,309,59.00,11.22,171212001460,17
ALGONQUIN MIDDLE SCHOOL,Illinois,1708550,60102,1-Regular school,2-No,2-No,2-No,461,189,†,224,237,38.07,12.11,170855000477,17
ALGONQUIN PRIMARY CENTER,ILLINOIS,1730810,60466,1-Regular school,2-No,2-No,2-No,156,113,†,76,80,7.00,22.29,173081006355,17
ALGONQUIN ROAD ELEM SCHOOL,Illinois,1715660,60021,1-Regular school,2-No,2-No,2-No,203,27,†,112,91,17.30,11.73,171566001878,17
ALHAMBRA PRIMARY SCHOOL,Illinois,1718990,62001,1-Regular school,2-No,2-No,2-No,169,56,†,81,88,11.26,15.01,171899002176,17
ALICE GUSTAFSON ELEM SCHOOL,Illinois,1705220,60510,1-Regular school,2-No,2-No,2-No,544,76,†,327,217,28.94,18.80,170522000200,17
ALLEN JUNIOR HIGH SCHOOL,Illinois,1721680,61330,1-Regular school,2-No,2-No,2-No,89,42,†,45,44,9.42,9.45,172168002435,17
ALLENDALE ELEMENTARY SCHOOL,Illinois,1703450,62410,1-Regular school,2-No,2-No,2-No,149,92,†,86,63,11.10,13.42,170345004514,17
ALLENDALE SCHOOL,Illinois,1703870,60046,1-Regular school,2-No,2-No,2-No,32,29,29,14,18,4.00,8.00,170387005136,17
ALOP ACADEMIC LEARNING PROGRAM,Illinois,1700221,60302,4-Alternative/other school,2-No,2-No,2-No,†,†,†,†,†,–,–,170022106212,17
ALTAMONT GRADE SCHOOL,Illinois,1703510,62411,1-Regular school,2-No,2-No,2-No,416,260,†,189,227,31.00,13.42,170351000033,17
ALTAMONT HIGH SCHOOL,Illinois,1703510,62411,1-Regular school,2-No,2-No,2-No,224,84,224,119,105,24.00,9.33,170351000034,17
ALTERNATIVE EDUCATION CENTER,Illinois,1711850,62523,1-Regular school,2-No,2-No,2-No,21,16,9,14,7,5.00,4.20,171185005840,17
ALTON HIGH SCHOOL,Illinois,1703600,62002,1-Regular school,2-No,2-No,2-No,1971,876,1971,1011,960,122.00,16.16,170360000035,17
ALTON MIDDLE SCHOOL,Illinois,1703600,62002,1-Regular school,2-No,2-No,2-No,1401,795,†,749,652,101.00,13.87,170360005841,17
ALWOOD  MIDDLE/HIGH SCHOOL,Illinois,1703660,61490,1-Regular school,2-No,2-No,2-No,167,68,109,86,81,16.00,10.44,170366000058,17
ALWOOD ELEM SCHOOL,Illinois,1703660,61413,1-Regular school,2-No,2-No,2-No,223,107,†,111,112,19.83,11.25,170366000057,17
AMANDLA CHARTER SCHOOL,ILLINOIS,1701426,60629,1-Regular school,1-Yes,2-No,2-No,284,242,284,145,139,15.00,18.93,170142606424,17
AMBOY CENTRAL ELEM SCHOOL,Illinois,1703690,61310,1-Regular school,2-No,2-No,2-No,296,121,†,157,139,21.04,14.07,170369000059,17
AMBOY HIGH SCHOOL,Illinois,1703690,61310,1-Regular school,2-No,2-No,2-No,208,83,208,100,108,18.50,11.24,170369000060,17
AMBOY JR HIGH SCHOOL,Illinois,1703690,61310,1-Regular school,2-No,2-No,2-No,216,107,†,120,96,18.54,11.65,170369000061,17
AMELIA V CARRIEL JR HIGH,Illinois,1729760,62269,1-Regular school,2-No,2-No,2-No,684,174,†,346,338,†,†,172976006079,17
AMERICANA INTERMEDIATE SCHOOL,Illinois,1732970,60139,1-Regular school,2-No,2-No,2-No,410,176,†,213,197,26.40,15.53,173297003413,17
AMOS ALONZO STAGG HIGH SCHOOL,Illinois,1708400,60465,1-Regular school,2-No,2-No,2-No,2276,759,2276,1164,1112,158.90,14.32,170840000458,17
AMUNDSEN HIGH SCHOOL,Illinois,1709930,60625,1-Regular school,2-No,2-No,2-No,1289,971,1289,680,609,87.00,14.82,170993000587,17
ANDALUSIA ELEM SCHOOL,Illinois,1734440,61232,1-Regular school,2-No,2-No,2-No,225,42,†,118,107,13.34,16.87,173444003545,17
ANDERSON ELEM SCHOOL,Illinois,1737170,60174,1-Regular school,2-No,2-No,2-No,424,121,†,205,219,28.10,15.09,173717003851,17
ANDREW COOKE MAGNET ELEM SCHOOL,Illinois,1741250,60085,1-Regular school,2-No,1-Yes,2-No,472,245,†,236,236,28.00,16.86,174125004122,17
ANN REID EARLY CHILDHOOD CENTER,Illinois,1727710,60540,1-Regular school,2-No,2-No,2-No,327,101,†,195,132,26.00,12.58,172771006106,17
ANNA JUNIOR HIGH SCHOOL,Illinois,1703750,62906,1-Regular school,2-No,2-No,2-No,303,182,†,150,153,18.24,16.61,170375000064,17
ANNA MCDONALD ELEM SCHOOL,Illinois,1724270,60442,1-Regular school,2-No,2-No,2-No,484,8,†,230,254,30.05,16.11,172427002639,17
ANNA-JONESBORO HIGH SCHOOL,Illinois,1703780,62906,1-Regular school,2-No,2-No,2-No,523,211,523,281,242,31.00,16.87,170378000067,17
ANNAWAN GRADE SCHOOL,Illinois,1703810,61234,1-Regular school,2-No,2-No,2-No,257,81,†,143,114,19.54,13.15,170381000068,17
ANNAWAN HIGH SCHOOL,Illinois,1703810,61234,1-Regular school,2-No,2-No,2-No,101,33,101,49,52,10.24,9.86,170381000069,17
ANNE FOX ELEM SCHOOL,Illinois,1734740,60133,1-Regular school,2-No,2-No,2-No,374,133,†,222,152,39.00,9.59,173474003634,17
ANNE M JEANS ELEM SCHOOL,Illinois,1730510,60527,1-Regular school,2-No,2-No,2-No,346,275,†,164,182,28.00,12.36,173051003172,17
ANNE SULLIVAN ELEM SCHOOL,Illinois,1732850,60070,1-Regular school,2-No,2-No,2-No,354,137,†,178,176,23.70,14.94,173285003402,17
ANNETTE OFFICER ELEMENTARY,Illinois,1713320,62205,1-Regular school,2-No,2-No,2-No,422,401,†,224,198,25.92,16.28,171332005001,17
ANTIOCH COMM HIGH SCHOOL,Illinois,1703870,60002,1-Regular school,2-No,2-No,2-No,1339,229,1339,703,636,85.00,15.75,170387000075,17
ANTIOCH ELEM SCHOOL,Illinois,1703840,60002,1-Regular school,2-No,2-No,2-No,322,96,†,163,159,21.40,15.05,170384000071,17
ANTIOCH UPPER GRADE SCHOOL,Illinois,1703840,60002,1-Regular school,2-No,2-No,2-No,995,228,†,516,479,71.10,13.99,170384000072,17
APLINGTON MIDDLE SCHOOL,Illinois,1732100,61064,1-Regular school,2-No,2-No,2-No,141,65,†,64,77,10.00,14.10,173210003361,17
APOLLO ELEM SCHOOL,Illinois,1701395,61231,1-Regular school,2-No,2-No,2-No,342,124,†,166,176,20.67,16.55,170139500019,17
APOLLO ELEM SCHOOL,Illinois,1713140,60016,1-Regular school,2-No,2-No,2-No,592,348,†,310,282,45.16,13.11,171314000063,17
APTAKISIC JUNIOR HIGH SCHOOL,Illinois,1703900,60089,1-Regular school,2-No,2-No,2-No,755,63,†,375,380,55.67,13.56,170390004367,17
ARBOR ACADEMY,Illinois,1700031,60035,2-Special education school,2-No,2-No,2-No,21,3,†,18,3,7.00,3.00,170003105833,17
ARBOR PARK MIDDLE SCHOOL,Illinois,1703930,60452,1-Regular school,2-No,2-No,2-No,637,253,†,359,278,44.00,14.48,170393000078,17
ARBOR VIEW ELEM SCHOOL,Illinois,1740500,60137,1-Regular school,2-No,2-No,2-No,298,60,†,165,133,21.85,13.64,174050004076,17
ARBURY HILLS ELEM SCHOOL,Illinois,1738220,60448,1-Regular school,2-No,2-No,2-No,188,28,†,105,83,16.47,11.41,173822003910,17
ARC,ILLINOIS,1700162,62650,4-Alternative/other school,2-No,2-No,2-No,15,11,15,9,6,="0.00",†,170016203208,17
ARCADIA ELEM SCHOOL,Illinois,1725020,60461,1-Regular school,2-No,2-No,2-No,452,353,†,235,217,31.94,14.15,172502002717,17
