School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ARNOLD J TYLER SCHOOL,Illinois,1728140,60451,1-Regular school,2-No,2-No,2-No,364,61,†,188,176,18.00,20.22,172814002971,17
ARNOLD W KRUSE ED CENTER,Illinois,1739030,60462,1-Regular school,2-No,2-No,2-No,405,153,†,215,190,31.50,12.86,173903003957,17
ARTHUR FROBERG ELEM SCHOOL,Illinois,1734510,61109,1-Regular school,2-No,2-No,2-No,422,226,†,210,212,23.00,18.35,173451003618,17
ARTHUR GRADE SCHOOL,Illinois,1704260,61911,1-Regular school,2-No,2-No,2-No,387,157,†,214,173,27.50,14.07,170426000120,17
ARTHUR-LOVINGTON-ATWOOD-HAMMOND,Illinois,1704260,61911,1-Regular school,2-No,2-No,2-No,322,126,322,167,155,26.00,12.38,170426000121,17
ASHBURN COMMUNITY ELEM SCHOOL,Illinois,1709930,60652,1-Regular school,2-No,2-No,2-No,450,370,†,220,230,26.50,16.98,170993004718,17
ASHE ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,315,290,†,158,157,15.00,21.00,170993001071,17
ASHKUM EARLY LITERACY CENTER,Illinois,1710410,60911,1-Regular school,2-No,2-No,2-No,59,24,†,25,34,2.00,29.50,171041001255,17
ASHLEY COM CONSOLIDATED SCHOOL,Illinois,1704340,62808,1-Regular school,2-No,2-No,2-No,157,85,1,87,70,12.00,13.08,170434000125,17
ASHMORE ELEM SCHOOL,Illinois,1709600,61912,1-Regular school,2-No,2-No,2-No,100,49,†,50,50,6.86,14.58,170960000565,17
ASHTON-FRANKLIN CENTER ELEM SCH,Illinois,1704380,61031,1-Regular school,2-No,2-No,2-No,266,119,†,141,125,19.50,13.64,170438004527,17
ASHTON-FRANKLIN CENTER HS,Illinois,1704380,61006,1-Regular school,2-No,2-No,2-No,229,102,150,111,118,17.83,12.84,170438000127,17
ASHTON-FRANKLIN CNTR MIDDLE SCH,Illinois,1704380,61031,1-Regular school,2-No,2-No,2-No,–,–,†,†,†,–,–,170438000126,17
ASIAN HUMAN SRVCS-PASSAGE CHRTR,Illinois,1709930,60660,1-Regular school,1-Yes,2-No,2-No,423,357,†,205,218,26.00,16.27,170993005682,17
ASPIRA CHARTER - BUS AND FIN,ILLINOIS,1709930,60618,1-Regular school,1-Yes,2-No,2-No,640,424,640,328,312,="0.00",†,170993006453,17
ASPIRA CHARTER - EARLY COLLEGE PR,ILLINOIS,1709930,60618,1-Regular school,1-Yes,1-Yes,2-No,328,310,328,150,178,27.00,12.15,170993006473,17
ASPIRA CHARTER - HAUGAN CAMPUS,ILLINOIS,1709930,60625,1-Regular school,1-Yes,2-No,2-No,306,292,†,148,158,20.00,15.30,170993006516,17
ASPIRE ALTERNATIVE HIGH SCHOOL,Illinois,1700165,62401,4-Alternative/other school,2-No,2-No,2-No,30,14,30,18,12,2.50,12.00,170016505759,17
ASSIST RSSP 12,Illinois,1700173,62480,4-Alternative/other school,2-No,2-No,2-No,7,†,5,5,2,1.00,7.00,170017306215,17
ASSIST TAOEP 12,Illinois,1700173,62480,4-Alternative/other school,2-No,2-No,2-No,24,17,15,14,10,3.00,8.00,170017302440,17
ASTORIA ELEM SCHOOL,Illinois,1704440,61501,1-Regular school,2-No,2-No,2-No,154,87,†,81,73,12.20,12.62,170444004529,17
ASTORIA HIGH SCHOOL,Illinois,1704440,61501,1-Regular school,2-No,2-No,2-No,110,59,110,55,55,12.71,8.65,170444000130,17
ASTORIA JUNIOR HIGH SCHOOL,Illinois,1704440,61501,1-Regular school,2-No,2-No,2-No,73,27,†,37,36,6.59,11.08,170444005139,17
ATHENS JUNIOR HIGH SCHOOL,Illinois,1704470,62613,1-Regular school,2-No,2-No,2-No,177,60,†,87,90,8.30,21.33,170447004530,17
ATHENS SR HIGH SCHOOL,Illinois,1704470,62613,1-Regular school,2-No,2-No,2-No,322,82,322,167,155,22.70,14.19,170447000131,17
ATTEA MIDDLE SCHOOL,Illinois,1716920,60026,1-Regular school,2-No,2-No,2-No,862,161,†,439,423,65.24,13.21,171692005657,17
ATWOOD-HAMMOND GRADE SCHOOL,ILLINOIS,1704260,61913,1-Regular school,2-No,2-No,2-No,270,116,†,138,132,23.00,11.74,170426000140,17
AUBURN ELEM SCHOOL,Illinois,1704620,62615,1-Regular school,2-No,2-No,2-No,344,111,†,185,159,22.08,15.58,170462004532,17
AUBURN HIGH SCHOOL,Illinois,1704620,62615,1-Regular school,2-No,2-No,2-No,415,134,415,197,218,28.56,14.53,170462000142,17
AUBURN HIGH SCHOOL,Illinois,1734510,61101,1-Regular school,2-No,2-No,2-No,1826,1127,1826,855,971,103.55,17.63,173451003599,17
AUBURN JR HIGH AT DIVERNON,Illinois,1704620,62530,1-Regular school,2-No,2-No,2-No,296,118,†,150,146,18.58,15.93,170462000141,17
AUBURN MIDDLE SCHOOL,Illinois,1704620,62615,1-Regular school,2-No,2-No,2-No,263,91,†,161,102,16.78,15.67,170462005966,17
AUDUBON ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,571,88,†,300,271,36.00,15.86,170993000581,17
AUSTIN COLLEGE AND CAREER ACAD HS,Illinois,1709930,60644,1-Regular school,2-No,1-Yes,2-No,195,183,195,104,91,12.00,16.25,170993005984,17
AUTUMN CREEK ELEM SCH,Illinois,1743960,60560,1-Regular school,2-No,2-No,2-No,673,150,†,334,339,43.40,15.51,174396006052,17
AUX SABLE,Illinois,1726310,60447,1-Regular school,2-No,2-No,2-No,689,131,†,345,344,40.00,17.23,172631005818,17
AUX SABLE MIDDLE SCH,Illinois,1731740,60431,1-Regular school,2-No,2-No,2-No,972,319,†,511,461,57.74,16.83,173174005862,17
AVALON PARK ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,264,252,†,126,138,14.00,18.86,170993000582,17
AVIS HUFF STUDENT SUPPORT SERVICE,ILLINOIS,1720760,60901,1-Regular school,2-No,2-No,2-No,54,46,48,49,5,9.14,5.91,172076006402,17
AVISTON ELEM SCHOOL,Illinois,1704740,62216,1-Regular school,2-No,2-No,2-No,384,29,†,195,189,23.75,16.17,170474000175,17
AVOCA WEST ELEM SCHOOL,Illinois,1704800,60025,1-Regular school,2-No,2-No,2-No,447,28,†,244,203,44.35,10.08,170480000177,17
AVON CENTER ELEM SCHOOL,Illinois,1717520,60073,1-Regular school,2-No,2-No,2-No,367,199,†,184,183,27.56,13.32,171752005313,17
AVON ELEM SCH,Illinois,1701413,61415,1-Regular school,2-No,2-No,2-No,125,68,†,53,72,10.32,12.11,170141306276,17
AZUELA ELEM SCHOOL,Illinois,1709930,60629,1-Regular school,2-No,2-No,2-No,889,750,†,475,414,44.00,20.20,170993006131,17
B H R A COOPERATIVE HS,ILLINOIS,1701433,61814,4-Alternative/other school,2-No,2-No,2-No,337,110,337,168,169,22.00,15.32,170143306554,17
B J HOOPER ELEM SCHOOL,Illinois,1721870,60046,1-Regular school,2-No,2-No,2-No,689,222,†,358,331,41.58,16.57,172187002457,17
BACK OF THE YARDS IB HS,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,1067,991,1067,485,582,80.50,13.25,170993006282,17
BALL ELEMENTARY SCHOOL,Illinois,1704920,62629,1-Regular school,2-No,2-No,2-No,658,148,†,355,303,33.00,19.94,170492000182,17
BALMORAL ELEM SCH,Illinois,1711250,60417,1-Regular school,2-No,2-No,2-No,457,347,†,256,201,32.00,14.28,171125001342,17
BANNER ELEMENTARY SCHOOL,Illinois,1712700,61525,1-Regular school,2-No,2-No,2-No,351,48,†,184,167,22.89,15.33,171270004389,17
BANNOCKBURN SCHOOL,Illinois,1704950,60015,1-Regular school,2-No,2-No,2-No,148,25,†,75,73,18.83,7.86,170495000186,17
BARACK H OBAMA LEARNING ACADEMY,Illinois,1718600,60428,1-Regular school,2-No,2-No,2-No,475,471,†,235,240,31.50,15.08,171860002152,17
BARACK OBAMA SCH OF LDERSHIP,Illinois,1730810,60411,1-Regular school,2-No,2-No,2-No,435,361,†,252,183,31.37,13.87,173081003202,17
BARBARA A SIZEMORE CAMPUS,ILLINOIS,1701424,60621,1-Regular school,1-Yes,2-No,2-No,265,255,†,139,126,12.00,22.08,170142406396,17
BARBARA B ROSE ELEM SCHOOL,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,454,15,†,222,232,32.46,13.99,170505002987,17
BARBOUR TWO-WAY LANG IMMERSION,Illinois,1734510,61102,1-Regular school,2-No,1-Yes,2-No,754,567,†,354,400,34.44,21.89,173451003607,17
BARNARD ELEM COMP MATH & SCI CTR,Illinois,1709930,60643,1-Regular school,2-No,1-Yes,2-No,264,221,†,112,152,18.50,14.27,170993000585,17
BARNSDALE ROAD SCHOOL,Illinois,1721600,60526,1-Regular school,2-No,2-No,2-No,344,59,†,188,156,†,†,172160005976,17
BARRINGTON EARLY LEARNING CENTER,ILLINOIS,1705050,60010,1-Regular school,2-No,2-No,2-No,278,100,†,159,119,15.00,18.53,170505006366,17
BARRINGTON HIGH SCHOOL,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,2921,535,2921,1544,1377,179.92,16.23,170505000188,17
BARRINGTON MDLE SCH- PRAIRIE CMPS,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,1013,192,†,498,515,75.55,13.41,170505000044,17
BARRINGTON MIDDLE SCH STATION,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,991,198,†,472,519,75.05,13.20,170505000192,17
BARRY ELEM SCHOOL,Illinois,1709930,60641,1-Regular school,2-No,2-No,2-No,612,536,†,309,303,41.50,14.75,170993000586,17
BARTELSO ELEM SCHOOL,Illinois,1705160,62218,1-Regular school,2-No,2-No,2-No,173,18,†,102,71,12.50,13.84,170516000198,17
BARTLETT ELEM SCHOOL,Illinois,1713710,60103,1-Regular school,2-No,2-No,2-No,503,150,†,245,258,24.00,20.96,171371001667,17
BARTLETT HIGH SCHOOL,Illinois,1713710,60103,1-Regular school,2-No,2-No,2-No,2417,929,2417,1294,1123,129.40,18.68,171371002108,17
BARTON ELEM SCHOOL,Illinois,1709930,60620,1-Regular school,2-No,2-No,2-No,379,350,†,188,191,26.00,14.58,170993000589,17
BARTONVILLE ELEM SCHOOL,Illinois,1705190,61607,1-Regular school,2-No,2-No,2-No,322,203,1,176,146,22.00,14.64,170519000199,17
BASS ELEM SCHOOL,Illinois,1709930,60621,1-Regular school,2-No,2-No,2-No,455,432,†,224,231,25.00,18.20,170993000590,17
BATAVIA SR HIGH SCHOOL,Illinois,1705220,60510,1-Regular school,2-No,2-No,2-No,1942,334,1942,968,974,117.17,16.57,170522000202,17
BATEMAN ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,947,738,†,485,462,59.50,15.92,170993000591,17
BEACH PARK MIDDLE SCHOOL,Illinois,1700010,60099,1-Regular school,2-No,2-No,2-No,782,358,†,390,392,50.50,15.49,170001000213,17
BEARD ELEM SCHOOL,Illinois,1709930,60656,1-Regular school,2-No,2-No,2-No,227,140,†,147,80,20.50,11.07,170993004965,17
BEARDSTOWN JR/SR HIGH SCHOOL,Illinois,1705310,62618,1-Regular school,2-No,2-No,2-No,896,701,453,464,432,55.09,16.26,170531000216,17
BEASLEY ELEM MAGNET ACADEMIC CTR,Illinois,1709930,60609,1-Regular school,2-No,1-Yes,2-No,1040,900,†,543,497,59.50,17.48,170993000668,17
BEAUBIEN ELEM SCHOOL,Illinois,1709930,60630,1-Regular school,2-No,2-No,2-No,1047,457,†,527,520,57.00,18.37,170993000601,17
BECKEMEYER ELEM SCHOOL,Illinois,1719200,62049,1-Regular school,2-No,2-No,2-No,560,294,†,277,283,36.09,15.52,171920002201,17
BECKEMEYER ELEM SCHOOL,Illinois,1707010,62219,1-Regular school,2-No,2-No,2-No,186,64,†,94,92,10.50,17.71,170701000362,17
BEDNARCIK JUNIOR HIGH SCHOOL,Illinois,1730270,60503,1-Regular school,2-No,2-No,2-No,700,134,†,359,341,39.01,17.94,173027004768,17
BEEBE ELEM SCHOOL,Illinois,1727710,60563,1-Regular school,2-No,2-No,2-No,559,126,†,283,276,41.00,13.63,172771002929,17
BEECHER CITY GRADE SCHOOL,Illinois,1705460,62414,1-Regular school,2-No,2-No,2-No,170,70,†,89,81,12.00,14.17,170546000224,17
BEECHER CITY JR-SR HIGH SCHOOL,Illinois,1705460,62414,1-Regular school,2-No,2-No,2-No,157,65,85,78,79,14.50,10.83,170546000225,17
BEECHER ELEM SCHOOL,Illinois,1705430,60401,1-Regular school,2-No,2-No,2-No,442,126,†,217,225,28.00,15.79,170543000222,17
BEECHER HIGH SCHOOL,Illinois,1705430,60401,1-Regular school,2-No,2-No,2-No,352,87,352,175,177,23.00,15.30,170543000223,17
BEECHER JUNIOR HIGH SCHOOL,Illinois,1705430,60401,1-Regular school,2-No,2-No,2-No,237,64,†,126,111,15.00,15.80,170543004523,17
BEETHOVEN ELEM SCHOOL,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,317,272,†,164,153,18.00,17.61,170993000602,17
BEHAVIOR DISORDER PROGRAM COOP,ILLINOIS,1732670,61368,1-Regular school,2-No,2-No,2-No,22,18,10,20,2,3.00,7.33,173267006377,17
BEIDLER ELEM SCHOOL,Illinois,1709930,60612,1-Regular school,2-No,2-No,2-No,396,369,†,181,215,27.00,14.67,170993000603,17
BELDING ELEM SCHOOL,Illinois,1709930,60641,1-Regular school,2-No,2-No,2-No,578,330,†,294,284,42.00,13.76,170993000604,17
BELL ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,1003,122,†,535,468,59.00,17.00,170993000605,17
BELL-GRAHAM ELEMENTARY SCHOOL,Illinois,1737170,60175,1-Regular school,2-No,2-No,2-No,434,38,†,229,205,27.50,15.78,173717004065,17
BELLE AIRE ELEM SCHOOL,Illinois,1712540,60515,1-Regular school,2-No,2-No,2-No,239,14,†,113,126,15.96,14.97,171254001505,17
BELLE ALEXANDER ELEM SCHOOL,Illinois,1721000,61443,1-Regular school,2-No,2-No,2-No,253,209,†,122,131,17.83,14.19,172100002381,17
BELLE VALLEY SCHOOL,Illinois,1705580,62220,1-Regular school,2-No,2-No,2-No,1038,731,†,537,501,70.80,14.66,170558000229,17
BELLEVILLE HIGH SCHOOL-EAST,Illinois,1705640,62221,1-Regular school,2-No,2-No,2-No,2393,1065,2393,1162,1231,144.00,16.62,170564000242,17
BELLEVILLE HIGH SCHOOL-WEST,Illinois,1705640,62223,1-Regular school,2-No,2-No,2-No,2155,1061,2155,1091,1064,125.00,17.24,170564000243,17
BELLEVILLE TWP HS-NIGHT/ALT SCH,Illinois,1705640,62223,1-Regular school,2-No,2-No,2-No,122,30,122,62,60,4.00,30.50,170564005591,17
BELMONT-CRAGIN ELEM SCHOOL,Illinois,1709930,60639,1-Regular school,2-No,2-No,2-No,–,412,†,†,†,31.00,†,170993004720,17
BELVIDERE CENTRAL MIDDLE SCHOOL,Illinois,1705790,61008,1-Regular school,2-No,2-No,2-No,974,393,†,487,487,68.00,14.32,170579004634,17
BELVIDERE HIGH SCHOOL,Illinois,1705790,61008,1-Regular school,2-No,2-No,2-No,1213,699,1213,580,633,80.29,15.11,170579000255,17
BELVIDERE NORTH HIGH SCH,Illinois,1705790,61008,1-Regular school,2-No,2-No,2-No,1433,505,1433,719,714,96.16,14.90,170579005909,17
BELVIDERE SOUTH MIDDLE SCHOOL,Illinois,1705790,61008,1-Regular school,2-No,2-No,2-No,840,489,3,442,398,64.05,13.11,170579000256,17
BEMENT ELEMENTARY SCHOOL,Illinois,1705820,61813,1-Regular school,2-No,2-No,2-No,148,67,†,64,84,12.00,12.33,170582004540,17
BEMENT HIGH SCHOOL,Illinois,1705820,61813,1-Regular school,2-No,2-No,2-No,97,37,97,57,40,13.45,7.21,170582000263,17
BEMENT MIDDLE SCHOOL,Illinois,1705820,61813,1-Regular school,2-No,2-No,2-No,64,37,†,29,35,3.00,21.33,170582004541,17
BEN-GIL ELEMENTARY SCHOOL,Illinois,1716680,62033,1-Regular school,2-No,2-No,2-No,626,613,†,355,271,46.35,13.51,171668001973,17
BENAVIDES STEAM ACADEMY,ILLINOIS,1704680,60505,1-Regular school,2-No,2-No,2-No,412,275,†,217,195,24.05,17.13,170468006318,17
BENJAMIN ELEM SCHOOL,Illinois,1728620,61705,1-Regular school,2-No,2-No,2-No,575,43,†,270,305,29.75,19.33,172862006130,17
BENJAMIN FRANKLIN ELEM SCHOOL,Illinois,1726400,61265,1-Regular school,2-No,2-No,2-No,262,138,†,127,135,19.00,13.79,172640002805,17
BENJAMIN FRANKLIN ELEM SCHOOL,Illinois,1711850,62526,1-Regular school,2-No,2-No,2-No,216,170,†,114,102,16.00,13.50,171185001404,17
BENJAMIN FRANKLIN ELEM SCHOOL,Illinois,1716800,60137,1-Regular school,2-No,2-No,2-No,518,58,†,261,257,36.20,14.31,171680001982,17
BENJAMIN FRANKLIN MIDDLE SCHOOL,Illinois,1737080,62704,1-Regular school,2-No,2-No,2-No,803,382,†,401,402,51.00,15.75,173708003814,17
BENJAMIN MIDDLE SCHOOL,Illinois,1705880,60185,1-Regular school,2-No,2-No,2-No,290,23,†,163,127,29.00,10.00,170588000264,17
BENNETT ELEM SCHOOL,Illinois,1709930,60628,1-Regular school,2-No,2-No,2-No,307,291,†,143,164,16.00,19.19,170993000607,17
BENT ELEM SCHOOL,Illinois,1706480,61701,1-Regular school,2-No,2-No,2-No,360,256,†,181,179,26.00,13.85,170648000317,17
BENTLEY ELEM SCHOOL,Illinois,1728140,60451,1-Regular school,2-No,2-No,2-No,401,56,†,209,192,21.00,19.10,172814002968,17
BENTON CONS HIGH SCHOOL,Illinois,1705970,62812,1-Regular school,2-No,2-No,2-No,561,316,561,299,262,37.46,14.98,170597000278,17
BENTON GRADE SCH 5-8,Illinois,1705950,62812,1-Regular school,2-No,2-No,2-No,480,255,†,262,218,30.16,15.92,170595004370,17
BENTON GRADE SCH K-4,Illinois,1705950,62812,1-Regular school,2-No,2-No,2-No,659,375,†,350,309,37.04,17.79,170595004752,17
BERGER-VANDENBERG ELEM SCHOOL,Illinois,1712420,60419,1-Regular school,2-No,2-No,2-No,299,298,†,160,139,16.00,18.69,171242001493,17
BERNARD J WARD ELEM SCHOOL,Illinois,1740070,60440,1-Regular school,2-No,2-No,2-No,437,377,†,222,215,33.00,13.24,174007005751,17
BERNARD LONG ELEM SCH,Illinois,1723970,62060,1-Regular school,2-No,2-No,2-No,339,335,†,171,168,31.00,10.94,172397006213,17
BERNARD W FLINN MIDDLE SCHOOL,Illinois,1734510,61108,1-Regular school,2-No,2-No,2-No,873,580,†,464,409,55.00,15.87,173451003583,17
BERT H FULTON SCHOOL,Illinois,1739030,60477,1-Regular school,2-No,2-No,2-No,530,182,†,279,251,40.90,12.96,173903003958,17
BETHALTO EAST PRIMARY SCHOOL,Illinois,1706120,62010,1-Regular school,2-No,2-No,2-No,410,220,†,207,203,33.20,12.35,170612000296,17
BETHEL GRADE SCHOOL,Illinois,1706180,62864,1-Regular school,2-No,2-No,2-No,184,143,†,89,95,12.50,14.72,170618000305,17
BETSY ROSS ELEM SCHOOL,Illinois,1715450,60130,1-Regular school,2-No,2-No,2-No,137,54,†,76,61,16.00,8.56,171545001859,17
BETSY ROSS ELEM SCHOOL,Illinois,1732850,60070,1-Regular school,2-No,2-No,2-No,318,104,†,183,135,19.50,16.31,173285003404,17
BETTY SHABAZZ INTERNL CHARTER SCH,ILLINOIS,1701424,60619,1-Regular school,1-Yes,2-No,2-No,317,309,†,153,164,18.00,17.61,170142406394,17
BEULAH PARK ELEM SCHOOL,Illinois,1743860,60099,1-Regular school,2-No,2-No,2-No,384,337,†,192,192,32.00,12.00,174386004350,17
BEVERLY MANOR ELEMENTARY SCHOOL,Illinois,1741010,61571,1-Regular school,2-No,2-No,2-No,397,229,†,197,200,26.78,14.82,174101004878,17
BEYER ELEM SCHOOL,Illinois,1734510,61104,1-Regular school,2-No,2-No,2-No,335,175,†,185,150,19.05,17.59,173451003611,17
BI-COUNTY SP ED PRESCHOOL PROGRAM,Illinois,1700227,61081,2-Special education school,2-No,2-No,2-No,1,†,†,1,†,2.00,="0.50",170022706115,17
BI-COUNTY SP ED-3-5 LIFE SKILLS-M,ILLINOIS,1700227,61270,2-Special education school,2-No,2-No,2-No,8,†,†,8,†,–,†,170022706652,17
BI-COUNTY SP ED-3-5 LIFE SKILLS-S,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,6,†,†,5,1,–,†,170022706684,17
BI-COUNTY SP ED-ECSE MONTMORENCY,ILLINOIS,1700227,61071,2-Special education school,2-No,2-No,2-No,5,†,†,4,1,–,†,170022706653,17
BI-COUNTY SP ED-ECSE PROPHETSTOWN,ILLINOIS,1700227,61277,2-Special education school,2-No,2-No,2-No,10,6,†,6,4,–,†,170022706683,17
BI-COUNTY SP ED-ECSE TAMPICO,ILLINOIS,1700227,61283,2-Special education school,2-No,2-No,2-No,5,†,†,5,†,–,†,170022706661,17
BI-COUNTY SP ED-HI ELEM,ILLINOIS,1700227,61071,2-Special education school,2-No,2-No,2-No,2,†,†,2,†,1.00,2.00,170022706685,17
BI-COUNTY SP ED-HI MS,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,1,†,†,1,†,–,†,170022706656,17
BI-COUNTY SP ED-HS LIFE SKILLS-ST,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,10,7,10,5,5,–,†,170022706687,17
BI-COUNTY SP ED-JR HS LIFE SKILLS,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,9,6,†,7,2,–,†,170022706655,17
BI-COUNTY SP ED-K-2 LIFE SKILLS-M,ILLINOIS,1700227,61270,2-Special education school,2-No,2-No,2-No,10,7,†,7,3,–,†,170022706680,17
BI-COUNTY SP ED-K-2 LIFE SKILLS-S,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,9,6,†,6,3,–,†,170022706647,17
BI-COUNTY SP ED-LIFE SKILL JR HGH,ILLINOIS,1700227,61270,2-Special education school,2-No,2-No,2-No,8,†,†,5,3,–,†,170022706675,17
BI-COUNTY SP ED-LIFE SKILLS HS-MO,ILLINOIS,1700227,61270,2-Special education school,2-No,2-No,2-No,9,4,9,4,5,–,†,170022706674,17
BI-COUNTY SP ED-TRANSITION LIFE S,ILLINOIS,1700227,61081,2-Special education school,2-No,2-No,2-No,10,6,10,5,5,1.00,10.00,170022706666,17
BICENTENNIAL ELEM SCHOOL,Illinois,1726400,61240,1-Regular school,2-No,2-No,2-No,291,82,†,147,144,17.00,17.12,172640002817,17
BIG HOLLOW ELEM SCHOOL,Illinois,1706270,60041,1-Regular school,2-No,2-No,2-No,571,161,†,292,279,33.50,17.04,170627004081,17
BIG HOLLOW MIDDLE SCHOOL,Illinois,1706270,60041,1-Regular school,2-No,2-No,2-No,789,241,†,377,412,50.36,15.67,170627000307,17
BIG HOLLOW PRIMARY SCHOOL,Illinois,1706270,60041,1-Regular school,2-No,2-No,2-No,382,103,†,210,172,29.50,12.95,170627000306,17
BISMARCK-HENNING ELEM SCHOOL,Illinois,1706390,61814,1-Regular school,2-No,2-No,2-No,331,127,†,164,167,19.00,17.42,170639000310,17
BISMARCK-HENNING JR HIGH SCHOOL,Illinois,1706390,61814,1-Regular school,2-No,2-No,2-No,262,87,†,143,119,16.00,16.38,170639000308,17
BLACK HAWK AREA DHH PROGRAM,ILLINOIS,1700084,61244,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,1.00,†,170008406662,17
BLACK HAWK AREA SPECIAL ED CTR,ILLINOIS,1700084,61244,2-Special education school,2-No,2-No,2-No,158,92,50,106,52,29.40,5.37,170008406326,17
BLACK HAWK ELEM SCHOOL,Illinois,1724780,60139,1-Regular school,2-No,2-No,2-No,488,448,†,244,244,36.08,13.53,172478002686,17
BLACK HAWK ELEM SCHOOL,Illinois,1737080,62704,1-Regular school,2-No,2-No,2-No,249,159,†,132,117,17.00,14.65,173708003815,17
BLACK MAGNET ELEM SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,1-Yes,2-No,424,330,†,200,224,23.00,18.43,170993000609,17
BLACKHAWK ELEM SCHOOL,Illinois,1715900,61032,1-Regular school,2-No,2-No,2-No,268,199,†,132,136,23.95,11.19,171590001898,17
BLACKHAWK ELEMENTARY SCHOOL,Illinois,1736600,61080,1-Regular school,2-No,2-No,2-No,154,97,†,85,69,10.40,14.81,173660004638,17
BLACKHAWK MIDDLE SCHOOL,Illinois,1705910,60106,1-Regular school,2-No,2-No,2-No,744,474,†,405,339,54.88,13.56,170591000266,17
BLACKHAWK PRIMARY CENTER,Illinois,1730810,60466,1-Regular school,2-No,2-No,2-No,221,179,†,101,120,15.80,13.99,173081003203,17
BLACKSTONE ELEM SCHOOL,Illinois,1725620,61342,1-Regular school,2-No,2-No,2-No,214,126,†,97,117,18.82,11.37,172562004735,17
BLAINE ELEM SCHOOL,Illinois,1709930,60613,1-Regular school,2-No,2-No,2-No,821,124,†,403,418,53.00,15.49,170993000610,17
BLAIR EARLY CHILDHOOD CENTER,Illinois,1709930,60638,1-Regular school,2-No,2-No,2-No,222,137,†,134,88,25.00,8.88,170993004966,17
BLOOM HIGH SCHOOL,Illinois,1706420,60411,1-Regular school,2-No,2-No,2-No,1642,1415,1642,853,789,95.70,17.16,170642000312,17
BLOOM TRAIL HIGH SCHOOL,Illinois,1706420,60411,1-Regular school,2-No,2-No,2-No,1225,958,1225,640,585,74.30,16.49,170642000313,17
BLOOMINGTON HIGH SCHOOL,Illinois,1706480,61701,1-Regular school,2-No,2-No,2-No,1491,823,1491,775,716,94.40,15.79,170648000318,17
BLOOMINGTON JR HIGH SCHOOL,Illinois,1706480,61701,1-Regular school,2-No,2-No,2-No,1217,743,†,587,630,78.00,15.60,170648000319,17
BLUE RIDGE HIGH SCHOOL,Illinois,1700003,61842,1-Regular school,2-No,2-No,2-No,232,94,232,109,123,18.38,12.62,170000305119,17
BLUE RIDGE INTERMEDIATE-JR HS,Illinois,1700003,61854,1-Regular school,2-No,2-No,2-No,241,109,†,123,118,20.14,11.97,170000305123,17
BLUFFS ELEMENTARY SCHOOL,Illinois,1706600,62621,1-Regular school,2-No,2-No,2-No,105,52,†,54,51,12.96,8.10,170660004551,17
BLUFFS HIGH SCHOOL,Illinois,1706600,62621,1-Regular school,2-No,2-No,2-No,64,33,64,35,29,5.00,12.80,170660000348,17
BLUFFS JUNIOR HIGH SCHOOL,Illinois,1706600,62621,1-Regular school,2-No,2-No,2-No,–,36,†,†,†,3.50,†,170660004552,17
BLUFFVIEW  ELEM SCHOOL,Illinois,1712720,62239,1-Regular school,2-No,2-No,2-No,572,281,†,307,265,41.40,13.82,171272004193,17
BLUFORD GRADE SCHOOL,ILLINOIS,1701417,62814,1-Regular school,2-No,2-No,2-No,256,113,†,135,121,17.48,14.65,170141706362,17
BLYTHE PARK ELEM SCHOOL,Illinois,1733990,60546,1-Regular school,2-No,2-No,2-No,195,27,†,104,91,13.33,14.63,173399003492,17
BOGAN HIGH SCHOOL,Illinois,1709930,60652,1-Regular school,2-No,2-No,2-No,828,745,828,456,372,51.00,16.24,170993000626,17
